-ί|n15907
λεπτόδομος|n19472
λεπτόμιτος|n19475
λεπτόν|n19476
λεπτός|n19477
λεπτότης|n19479
λεπτύνω|n19483
λεπυριώδης|n19485
λεπύριον|n19484
λεσβίς|n19491
λεσβιάζω|n19489
λεσβόθεν|n19492
λεσχάζω|n19494
λεσχηνεία|n19495
λεσχηνεύω|n19496
λευίτης|n19499
λευγαλέος|n19498
λευκάργιλος|n19503
λευκάς|n19505
λευκήρετμος|n19507
λευκήρης|n19508
λευκίτης|n19511
λευκαίνω|n19500
λευκανθής|n19501
λευκανθίζω|n19502
λευκιππίδες|n19509
λευκογραφέω|n19512
λευκοθέα|n19513
λευκοθώραξ|n19515
λευκοκύμων|n19518
λευκολόφας|n19520
λευκοπάρειος|n19524
λευκοφαής|n19535
λευκοφόρος|n19536
λευκοχίτων|n19538
λευκοόπωρος|n19523
λευκόθριξ|n19514
λευκόινος|n19516
λευκόιον|n19517
λευκόλινον|n19519
λευκόλοφος|n19521
λευκόν|n19522
λευκόπετρον|n19525
λευκόπηχυς|n19526
λευκόπους|n19527
λευκόπτερος|n19528
λευκόπωλος|n19529
λευκός|n19530
λευκόστικτος|n19531
λευκόσφυρος|n19532
λευκότριχος|n19533
λευκότροφος|n19534
λευκόχρους|n19539
λευκόχρως|n19540
λευκόω|n19541
λευκώλενος|n19542
λευρός|n19544
λευσμός|n19546
λευστήρ|n19548
λεχήρης|n19553
λεχαῖος|n19550
λεχεποίη|n19551
λεχεποίης|n19552
λεχώ|n19559
λεχώιος|n19558
λεωκόριον|n19560
λεωργός|n19562
λεωσφέτερος|n19564
λεωφόρος|n19565
λεόντεος|n19445
λεύκασπις|n19504
λεύκη|n19506
λεύκιππος|n19510
λεύκοφρυς|n19537
λεύκωμα|n19543
λεύσιμος|n19545
λεύσσω|n19547
λεύω|n19549
λεῖμαξ|n19393
λεῖμμα|n19394
λεῖος|n19405
ληίδιος|n19579
ληίζομαι|n19580
ληίς|n19583
ληίστωρ|n19588
ληθαργικός|n19571
ληθεδανός|n19573
ληθεδών|n19574
ληιάς|n19577
ληιβοτήρ|n19578
ληινόμος|n19581
ληιστήρ|n19584
ληιστής|n19585
ληιστός|n19586
ληιστύς|n19587
ληκέω|n19591
ληκυθίζω|n19592
ληκυθουργός|n19595
ληκύθιον|n19593
λημάω|n19598
ληματιάω|n19597
λημνίσκος|n19602
λημνόθεν|n19603
ληναίτης|n19607
ληναικός|n19605
ληναιών|n19608
ληναῖος|n19606
ληνός|n19610
ληξίαρχος|n19613
ληξιαρχικός|n19612
ληπτέος|n19616
ληπτικός|n19617
ληπτός|n19618
ληρέω|n19619
ληρός|n19622
ληρώδης|n19623
λησίμβροτος|n19624
λησμοσύνη|n19625
λητοίδης|n19637
λητογενής|n19636
λητώ|n19639
λητῷος|n19638
ληῖτις|n19589
λιάζομαι|n19641
λιαρός|n19643
λιβάδιον|n19644
λιβάζω|n19645
λιβάς|n19651
λιβανωτίζω|n19648
λιβανωτοφόρος|n19650
λιβανωτός|n19649
λιβανόχρους|n19647
λιβερτῖνος|n19652
λιβρός|n19654
λιβυκός|n19657
λιβυρνικός|n19658
λιβυρνοί|n19659
λιβυφοῖνιξ|n19661
λιβύη|n19656
λιβύηθε|n19655
λιγέως|n19666
λιγαίνω|n19662
λιγνύς|n19667
λιγυαστάδης|n19668
λιγυηχής|n19669
λιγυπνείων|n19672
λιγυπτέρυγος|n19674
λιγυρός|n19675
λιγύμολπος|n19670
λιγύμυθος|n19671
λιγύπνοιος|n19673
λιγύς|n19676
λιγύφθογγος|n19678
λιγύφωνος|n19679
λιθάζω|n19680
λιθάς|n19682
λιθάω|n19683
λιθίδιον|n19688
λιθεία|n19684
λιθηλογής|n19686
λιθιάω|n19687
λιθοβολέω|n19691
λιθοβόλος|n19693
λιθογλύφος|n19694
λιθοδερκής|n19695
λιθοδόμος|n19697
λιθοεργός|n19698
λιθοκτονία|n19701
λιθοκόλλητος|n19699
λιθοκόπος|n19700
λιθολόγημα|n19703
λιθολόγος|n19704
λιθοξόος|n19705
λιθοποιός|n19706
λιθοσπαδής|n19708
λιθοτομία|n19711
λιθοτόμος|n19712
λιθουργέω|n19713
λιθουργός|n19714
λιθοφορέω|n19715
λιθοφόρος|n19716
λιθόβλητος|n19690
λιθόβολος|n19692
λιθόδμητος|n19696
λιθόλευστος|n19702
λιθόρρινος|n19707
λιθόστρωτος|n19710
λιθώδης|n19717
λικμάω|n19719
λικμαῖος|n19718
λικμητήρ|n19720
λικμητός|n19721
λικμός|n19722
λικνοφόρος|n19724
λικριφίς|n19725
λιλαίομαι|n19726
λιμήν|n19731
λιμαίνω|n19727
λιμενίτης|n19728
λιμενορμίτης|n19729
λιμενοσκόπος|n19730
λιμηρός1|@
λιμηρός2|@
λιμηρός|@
λιμνάς|n19735
λιμνήσιος|n19737
λιμνήτης|n19738
λιμναῖος|n19734
λιμνουργός|n19739
λιμνοφυής|n19740
λιμνόχαρις|n19741
λιμνώδης|n19742
λιμοθνής|n19743
λιμοκτονέω|n19744
λιμοκτονία|n19745
λιμοφορεύς|n19747
λιμός|n19746
λιμόψωρος|n19748
λιμώσσω|n19749
λινοθήρης|n19753
λινοθώρηξ|n19754
λινοπτάομαι|n19760
λινοπόρος|n19759
λινοστασία|n19764
λινουργός|n19765
λινοφθόρος|n19766
λινόδεσμος|n19751
λινόδετος|n19752
λινόκλωστος|n19755
λινόκροκος|n19756
λινόπεπλος|n19758
λινόπτερος|n19761
λινόπτης|n19762
λιπάρα|n19771
λιπάω|n19784
λιπαίνω|n19767
λιπανδρέω|n19768
λιπαράμπυξ|n19770
λιπαρέω|n19772
λιπαρής|n19773
λιπαρία1|n19775
λιπαρία|n19775
λιπαρητέος|n19774
λιπαροκρήδεμνος|n19778
λιπαροπλόκαμος|n19779
λιπαρόζωνος|n19776
λιπαρόθρονος|n19777
λιπαρός|n19780
λιπαρόχρους|n19781
λιπαρόχρως|n19782
λιπαυγής|n19783
λιπερνής|n19785
λιπερνήτης|n19786
λιπομήτωρ|n19790
λιπομαρτύριον|n19789
λιποναύτης|n19792
λιποπάτωρ|n19795
λιποσαρκής|n19797
λιποστέφανος|n19799
λιποστράτιον|n19801
λιποστρατία|n19800
λιποτάξιον|n19803
λιποταξία|n19802
λιποτριχής|n19804
λιποψυχέω|n19805
λιπόγαμος|n19787
λιπόγυιος|n19788
λιπόναυς|n19791
λιπόνεως|n19793
λιπόπατρις|n19794
λιπόπνους|n19796
λισσάς|n19810
λισσός|n19812
λιστρεύω|n19814
λιστός|n19813
λιτή|n19821
λιταίνω|n19816
λιτανεύω|n19817
λιτανός|n19818
λιταργίζω|n19819
λιτραῖος|n19827
λιτυέρσης|n19830
λιτόβιος|n19822
λιτός1|@
λιτός3|@
λιτός|@
λιτότης|n19826
λιχανός|n19832
λιχμάζω|n19833
λιχμάω|n19834
λιχνεία|n19835
λιχνεύω|n19836
λιχνοβόρος|n19837
λιψουρία|n19841
λοίγιος|n19881
λοίδορος|n19887
λοίσθιος|n19893
λοβός|n19842
λογάδην|n19843
λογάριον|n19844
λογάς1|n19845
λογάς|n19845
λογία|n19847
λογίδιον|n19848
λογίζομαι|n19849
λογεῖον|n19846
λογισμός|n19853
λογιστέος|n19854
λογιστήριον|n19855
λογιστής|n19856
λογιστικός|n19857
λογογράφος|n19861
λογογραφέω|n19858
λογογραφία|n19859
λογογραφικός|n19860
λογολέσχης|n19862
λογομάχος|n19865
λογομαχέω|n19863
λογομαχία|n19864
λογοποιέω|n19866
λογοποιία|n19867
λογοποιικός|n19868
λογοποιός|n19869
λογχήρης|n19873
λογχεύω|n19871
λογχοποιός|n19876
λογχοφόρος|n19877
λογχωτός|n19878
λογχόομαι|n19875
λοιβή|n19880
λοιβεῖον|n19879
λοιγός1|n19882
λοιγός|n19882
λοιδορέω|n19883
λοιδορία|n19886
λοιδορησμός|n19885
λοιδόρημα|n19884
λοιμός|n19888
λοιμώδης|n19889
λοιμώσσω|n19890
λοιπός|n19891
λοισθήιος|n19892
λοκροί|n19896
λοκρός|n19897
λοξίας|n19898
λοξοβάτης|n19899
λοξοτρόχις|n19902
λοξός|n19900
λοξότης|n19901
λοπάδιον|n19905
λοπάς|n19906
λοπίς|n19907
λοπαδαρπαγίδης|n19904
λοπός|n19908
λουτροδάικτος|n19909
λουτροφόρος|n19911
λουτροχοέω|n19912
λουτροχόος|n19913
λουτρόν|n19910
λουτρών|n19914
λοφάω|n19916
λοφεῖον|n19917
λοφηφόρος|n19918
λοφιά|n19919
λοφιήτης|n19920
λοφνίς|n19921
λοφοποιός|n19923
λοφόομαι|n19922
λοχάζομαι|n19930
λοχάω|n19932
λοχέος|n19935
λοχίζω|n19938
λοχίτης|n19941
λοχαγέτης|n19926
λοχαγέω|n19927
λοχαγία|n19928
λοχαγός|n19929
λοχαῖος|n19931
λοχεία|n19933
λοχεύω|n19937
λοχεῖος|n19934
λοχισμός|n19940
λοχμαῖος|n19942
λοχμώδης|n19945
λούω|n19915
λοῖσθος1|n19894
λοῖσθος|n19894
λυαῖος|n19948
λυγίζω|n19955
λυγαῖος|n19950
λυγδίνεος|n19952
λυγισμός|n19956
λυγοτευχής|n19961
λυγρός|n19963
λυγόω|n19962
λυδία|n19965
λυδίζω|n19966
λυδιακά|n19964
λυδιστί|n19968
λυδός|n19969
λυθρώδης|n19973
λυκάβας|n19974
λυκέη|n19981
λυκία|n19986
λυκίηθεν|n19989
λυκίηνδε|n19990
λυκαινίς|n19977
λυκαονία|n19979
λυκαυγής|n19980
λυκαῖος|n19978
λυκηγενής|n19985
λυκιάρχης|n19987
λυκιδεύς|n19988
λυκιοεργής|n19991
λυκοθαρσής|n19994
λυκοκτόνος|n19995
λυκορραίστης|n19996
λυκόφως|n19998
λυκόω|n19999
λυκώδης|n20000
λυμαίνομαι2|n20001
λυμαίνομαι|n20001
λυμαντήρ|n20003
λυμαντήριος|n20002
λυμαντής|n20004
λυμεών|n20006
λυπέω|n20008
λυπηρός|n20011
λυπητέος|n20012
λυπρόβιος|n20013
λυπρός|n20014
λυπρότης|n20015
λυπρόχωρος|n20016
λυρίζω|n20019
λυραοιδός|n20017
λυρικός|n20020
λυρογηθής|n20022
λυροθελγής|n20024
λυροκτυπία|n20025
λυροκτύπος|n20026
λυροποιικός|n20027
λυροποιός|n20028
λυρόεις|n20023
λυρώδης|n20029
λυσάνδρια|n20030
λυσίγαμος|n20032
λυσίζωνος|n20033
λυσίκακος|n20034
λυσίμαχος|n20035
λυσίποθος|n20041
λυσίπονος|n20042
λυσίφρων|n20048
λυσανίης|n20031
λυσιμέριμνος|n20037
λυσιμελής|n20036
λυσιπαίγμων|n20040
λυσιτελέω|n20044
λυσιτελής|n20045
λυσιτελούντως|n20046
λυσιφλεβής|n20047
λυσιῳδός|n20049
λυσσάς|n20052
λυσσάω|n20053
λυσσαίνω|n20050
λυσσητήρ|n20055
λυσσητής|n20056
λυσσομανής|n20057
λυσσόω|n20058
λυσσώδης|n20059
λυτέος|n20060
λυτήρ|n20062
λυτήριος|n20061
λυτικός|n20063
λυτρωτέος|n20068
λυτρωτής|n20069
λυτρόω|n20066
λυτός|n20064
λυχνίον|n20071
λυχνίς|n20073
λυχνίσκος|n20072
λυχνίτης|n20074
λυχνεών|n20070
λυχνοκαία|n20075
λυχνοποιός|n20076
λυχνοπώλης|n20078
λυχνοφόρος|n20080
λυχνόπολις|n20077
λωίων|n20090
λωβάομαι|n20082
λωβήτειρα|n20085
λωβήτωρ|n20089
λωβεύω|n20083
λωβητήρ|n20086
λωβητής|n20087
λωβητός|n20088
λωπίζω|n20094
λωποδυτέω|n20095
λωποδύτης|n20096
λωτίζομαι|n20098
λωτοτρόφος|n20103
λωτοφάγοι|n20104
λωτόεις|n20101
λωτός|n20102
λωφάω|n20105
λωφήιος|n20106
λόγιμος|n19850
λόγιον|n19851
λόγιος|n19852
λόγος|n19870
λόγχη1|n19872
λόγχη|n19872
λόγχιμος|n19874
λόκκη|n19895
λόξωσις|n19903
λόφος|n19924
λόφωσις|n19925
λόχευμα|n19936
λόχιος|n19939
λόχμη|n19943
λόχμιος|n19944
λόχονδε|n19946
λόχος|n19947
λύα|n19949
λύγδην|n19951
λύγδινος|n19953
λύγδος|n19954
λύγκειος|n19957
λύγξ1|@
λύγξ2|@
λύγξ|@
λύγος|n19960
λύδιος|n19967
λύζω|n19970
λύη|n19971
λύθρον|n19972
λύκαια|n19975
λύκαινα|n19976
λύκειον|n19982
λύκειος|n19983
λύκη|n19984
λύκιοι|n19992
λύκιος|n19993
λύκος|n19997
λύμη|n20007
λύπη|n20010
λύπημα|n20009
λύρα|n20018
λύριον|n20021
λύσιμος|n20038
λύσιος|n20039
λύσις|n20043
λύσσα|n20051
λύσσημα|n20054
λύτρον|n20065
λύτρωσις|n20067
λύχνος|n20079
λύω|n20081
λώβη|n20084
λώπη|n20093
λώτινος|n20099
λώτισμα|n20100
λώφησις|n20107
λᾶας|n19160
λᾶιγξ|n19206
λῃδάριον|n19567
λῃστάρχης|n19626
λῃστήριον|n19629
λῃστής|n19630
λῃστεία|n19627
λῃστεύω|n19628
λῃστικός|n19631
λῃστοκτόνος|n19633
λῃστρίς|n19635
λῃστρικός|n19634
λῆδον|n19568
λῆδος|n19569
λῆθος|n19576
λῆμα|n19596
λῆμμα|n19600
λῆμνος|n19604
λῆναι|n19609
λῆνος|n19611
λῆξις1|@
λῆξις2|@
λῆξις|@
λῆρος1|n19621
λῆρος|n19621
λῆστις|n19632
λῆψις|n19640
λῦμα1|n20005
λῦμα|n20005
λῶμα|n20091
λῶπος|n20097
λῷος|n20092
μά1|n20295
μά|n20295
μάγαδις|n20109
μάγγανον|n20113
μάγειρος|n20118
μάγευμα|n20119
μάγνης|n20123
μάγος|n20124
μάδδα|n20128
μάθημα|n20132
μάθησις|n20134
μάθος|n20141
μάιος|n20165
μάκαρ|n20179
μάκελλα|n20186
μάκελλον|n20187
μάκρος|n20218
μάκρων|n20227
μάκτρα|n20228
μάλα|n20240
μάλβαξ|n20243
μάλη|n20245
μάλθα|n20252
μάλιον|n20254
μάλιστα|n20257
μάλκη|n20258
μάμμη|n20265
μάνδρα|n20268
μάννα|n20276
μάννος|n20277
μάντευμα|n20284
μάντις|n20291
μάραγνα|n20297
μάραθον|n20298
μάργαρον|n20305
μάργος|n20309
μάρη|n20313
μάρμαρος|n20323
μάρναμαι|n20326
μάρπτω|n20327
μάρσιπος|n20328
μάρτιος|n20329
μάρτυρος|n20335
μάρτυς|n20336
μάσθλης|n20338
μάσσω|n20342
μάσσων|n20341
μάσταξ|n20343
μάστιξ|n20356
μάστις|n20357
μάταιος|n20373
μάτη|n20378
μάτην|n20377
μάχαιρα|n20385
μάχη|n20397
μάχιμος|n20401
μάχλος|n20404
μάχομαι|n20406
μάψ2|n20412
μάψ|n20412
μέγαθος|n20415
μέγαράδε|n20477
μέγαρα|n20478
μέγαρον|n20485
μέγαρόνδε|n20484
μέγας|n20487
μέγεθος|n20489
μέδιμνος|n20494
μέδομαι|n20495
μέδω|n20496
μέζεα|n20497
μέθεξις|n20503
μέθη|n20509
μέθημαι|n20511
μέθοδος|n20519
μέθυ|n20528
μέθυσις|n20531
μέθυσος|n20534
μέλαθρον|n20584
μέλαν|n20611
μέλας|n20619
μέλασμα|n20618
μέλδομαι|n20620
μέλε2|n20633
μέλε|n20633
μέλεος|n20631
μέλημα|n20643
μέλι|n20665
μέλιγμα|n20652
μέλινος2|n20662
μέλινος|n20662
μέλισμα|n20669
μέλισσα|n20671
μέλιττα|n20687
μέλλημα|n20700
μέλλησις|n20701
μέλλω|n20707
μέλος|n20714
μέλπηθρον|n20716
μέλπω2|n20718
μέλπω|n20718
μέλω|n20723
μέμαα|n20724
μέμνων|n20732
μέμονα|n20733
μέμφομαι|n20735
μέμψις|n20738
μέν|n20754
μένος|n20753
μέντοι|n20755
μένω|n20757
μέριμνα|n20760
μέρμερος|n20771
μέρμηρα|n20772
μέρμις|n20774
μέρος|n20775
μέροψ|n20776
μέσαβον|n20777
μέσακτος|n20780
μέσατος|n20781
μέσαυλος|n20782
μέσος|n20814
μέσσατος|n20823
μέσφα|n20828
μέταζε|n20859
μέταλλον|n20899
μέτασσα|n20960
μέταυλος|n20986
μέτειμι1|@
μέτειμι2|@
μέτειμι|@
μέτοικος|n21044
μέτοχος|n21057
μέτρημα|n21059
μέτρησις|n21060
μέτριος|n21070
μέτρον|n21072
μέτωπον|n21076
μέχρι|n21077
μή1|n21168
μή|n21168
μήδομαι|n21101
μήκιστος|n21113
μήκοτε|n21115
μήκων|n21117
μήλειος|n21119
μήλη|n21120
μήλιος|n21123
μήλωψ|n21147
μήν1|n21148
μήν|n21148
μήνη|n21151
μήνιμα|n21154
μήνυμα|n21159
μήνυτρον|n21162
μήποτε|n21170
μήπου|n21171
μήπω|n21172
μήπως|n21174
μήρινθος2|n21178
μήρινθος|n21178
μήστωρ|n21183
μήτε|n21184
μήτηρ|n21185
μήτις|n21191
μήτοι|n21192
μήτρα1|n21196
μήτρα|n21196
μήτρως|n21216
μίασμα|n21240
μίγα|n21243
μίγδα|n21245
μίγδην|n21246
μίγνυμι|n21248
μίδας|n21249
μίθρης|n21250
μίλητος|n21275
μίλιον|n21278
μίλτειος|n21280
μίλτος|n21283
μίμαρκυς|n21286
μίμημα|n21289
μίμησις|n21290
μίμνω|n21297
μίνθος|n21302
μίνυνθα|n21309
μίνως|n21316
μίσημα|n21337
μίσθιος|n21350
μίσθωμα|n21361
μίσθωσις|n21362
μίτος|n21400
μίτρα|@
μίτυλος|n21405
μαίανδρος|n20142
μαίευμα|n20146
μαίευσις|n20148
μαίναλον|n20155
μαίνη|n20157
μαίνομαι|n20162
μαίομαι|n20163
μαίωσις|n20167
μαίωτρα|n20171
μαγάδιον|n20108
μαγάς|n20110
μαγγάνευμα|n20111
μαγγανεύω|n20112
μαγεία|n20114
μαγειρεύω|n20116
μαγειρεῖον|n20115
μαγειρικός|n20117
μαγεύς|n20120
μαγεύω|n20121
μαγικός|n20122
μαγοφόνια|n20125
μαδάω|n20127
μαδαρός|n20126
μαζίσκη|n20130
μαζονόμος|n20131
μαθηματικός|n20133
μαθητέος|n20135
μαθητής|n20137
μαθητεύω|n20136
μαθητιάω|n20138
μαθητικός|n20139
μαθητός|n20140
μαιάς|n20145
μαιευτικός|n20149
μαιεύομαι|n20147
μαιμάκτης|n20152
μαιμάσσω|n20153
μαιμάω|n20154
μαιμακτηριών|n20151
μαινάς|n20156
μαινίς|n20158
μαινόλης|n20159
μαινόλιος|n20160
μαινόλις|n20161
μαιωτιστί|n20170
μαιόομαι|n20164
μαιώτης|n20169
μαιῆτις1|n20150
μαιῆτις|n20150
μαιῶται|n20168
μακάριος|n20174
μακέλη|n20185
μακέτης|n20188
μακαρία|n20172
μακαρίζω|n20173
μακαρίτης|n20178
μακαρισμός|n20176
μακαριστός|n20177
μακαριότης|n20175
μακαρτός|n20180
μακεδνός|n20181
μακεδονίζω|n20182
μακεδονιστί|n20183
μακεδών|n20184
μακιστήρ|n20189
μακκοάω|n20190
μακράν|n20192
μακρήγορος|n20196
μακραίων|n20191
μακραύχην|n20193
μακρηγορέω|n20194
μακρηγορία|n20195
μακρημερία|n20197
μακροβίοτος|n20200
μακροβιότης|n20199
μακροδρόμος|n20202
μακροθυμέω|n20204
μακροκέφαλος|n20206
μακροκομέω|n20207
μακρολογέω|n20209
μακρολογία|n20210
μακρολόγος|n20211
μακροπορέω|n20214
μακροπορία|n20215
μακροπώγων|n20216
μακροτένων|n20219
μακροτέρως|n20220
μακροτράχηλος|n20222
μακροφάρυγξ|n20223
μακροφλυαρήτης|n20224
μακρόβιος|n20198
μακρόγηρως|n20201
μακρόθεν|n20203
μακρόθυμος|n20205
μακρόκωλος|n20208
μακρόμαλλος|n20212
μακρόπνους|n20213
μακρός|n20217
μακρότονος|n20221
μακρόχειρ|n20225
μακρόχηλος|n20226
μαλάσσω|n20241
μαλάχη|n20242
μαλίς1|@
μαλίς2|@
μαλίς|@
μαλακία|n20230
μαλακίζομαι|n20232
μαλακαίπους|n20229
μαλακιάω|n20231
μαλακογνώμων|n20234
μαλακτήρ|n20238
μαλακόγειος|n20233
μαλακός|n20235
μαλακότης|n20236
μαλακόχειρ|n20237
μαλακύνομαι|n20239
μαλερός|n20244
μαλθάκινος|n20248
μαλθάσσω|n20253
μαλθακία|n20246
μαλθακίζομαι|n20247
μαλθακιστέος|n20249
μαλθακός|n20250
μαλθακόφωνος|n20251
μαλκίω|n20259
μαλλός|n20261
μαλός1|n20262
μαλός|n20262
μαμμάκυθος|n20263
μαμμωνᾶ|n20266
μαμμᾶν|n20264
μανέρως|n20269
μανία1|n20272
μανία|n20272
μανδραγόρας|n20267
μανθάνω|n20270
μανιάκης|n20271
μανιάς|n20273
μανικός|n20274
μανιώδης|n20275
μαννοφόρος|n20278
μαντεία|n20281
μαντευτέος|n20286
μαντευτός|n20287
μαντεύομαι|n20285
μαντεῖον|n20282
μαντεῖος|n20283
μαντικός|n20288
μαντιπολέω|n20289
μαντιπόλος|n20290
μαντοσύνη|n20292
μαντόσυνος|n20293
μαντῷος|n20294
μανός|n20279
μανότης|n20280
μαράν|n20302
μαρέη|n20312
μαρίλη|n20316
μαραίνω|n20301
μαραθωνομάχης|n20299
μαραθών|n20300
μαργάω|n20306
μαργίτης|n20307
μαργαίνω|n20303
μαργαρίτης|n20304
μαργοσύνη|n20310
μαργόομαι|n20308
μαργότης|n20311
μαριανδυνός|n20314
μαριλάδης|n20315
μαριλοπότης|n20317
μαρμάρεος|n20319
μαρμάρινος|n20320
μαρμαίρω|n20318
μαρμαρογλυφία|n20321
μαρμαρυγή|n20324
μαρμαρωπός|n20325
μαρμαρόεις|n20322
μαρτυρέω|n20330
μαρτυρία|n20332
μαρτύρημα|n20331
μαρτύριον|n20333
μαρτύρομαι|n20334
μασάομαι|n20337
μασθός|n20339
μασσαλία|n20340
μαστήρ|n20347
μαστίζω|n20354
μαστίκτωρ|n20355
μαστίω|n20359
μασταρύζω|n20344
μαστευτής|n20345
μαστεύω|n20346
μαστιάω|n20348
μαστιγίης|n20349
μαστιγοφόρος|n20350
μαστιγωτέος|n20353
μαστιγόω|n20351
μαστιγώσιμος|n20352
μαστιχάω|n20358
μαστροπεία|n20362
μαστροπεύω|n20363
μαστροπός|n20364
μαστόδετον|n20360
μαστός|n20361
μασχάλη|n20365
μασχαλίζω|n20366
μασχαλιστήρ|n20367
ματάω|n20374
ματέω|n20376
ματία|n20379
ματαιολογέω|n20369
ματαιολόγος|n20370
ματαιοπονία|n20371
ματαιοπόνος|n20372
ματεύω|n20375
ματιολοιχός|n20380
ματτύη|n20381
ματᾴζω|n20368
μαυρόω|n20382
μαυσωλεῖον|n20383
μαχάων|n20394
μαχήμων|n20396
μαχαίριον|n20387
μαχαιρίδιον|n20386
μαχαιρίς|n20388
μαχαιροποιεῖον|n20389
μαχαιροποιός|n20390
μαχαιροπώλης|n20391
μαχαιροπώλιον|n20392
μαχαιροφόρος|n20393
μαχετέος|n20395
μαχητής|n20398
μαχητικός|n20399
μαχητός|n20400
μαχιμώδης|n20402
μαχλάς|n20403
μαχλοσύνη|n20405
μαχομένως|n20407
μαψίδιος|n20409
μαψαῦραι|n20408
μαψιλόγος|n20410
μαψιτόκος|n20411
μαψυλάκας|n20413
μαύσωλος|n20384
μαῖα|@
μαῖρα|n20166
μείδημα|n20542
μείλια|n20545
μείλιγμα|n20546
μείλιχος|n20552
μείρομαι1|n20566
μείρομαι|n20566
μείς|n21149
μείωμα|n20568
μείων|n20569
μεγάθυμος|n20416
μεγάλαυχος|n20424
μεγάλοιτος|n20445
μεγάλως|n20473
μεγάνωρ|n20476
μεγήρατος|n20490
μεγαίρω|n20417
μεγαθαρσής|n20414
μεγακήτης|n20418
μεγακλεής|n20419
μεγαλάδικος|n20420
μεγαλήγορος|n20429
μεγαλήνωρ|n20431
μεγαλήτωρ|n20432
μεγαλίζομαι|n20433
μεγαλαλκής|n20421
μεγαλαυχέω|n20422
μεγαλαυχία|n20423
μεγαλειότης|n20426
μεγαλεῖος|n20425
μεγαληγορέω|n20427
μεγαληγορία|n20428
μεγαληνορία|n20430
μεγαλκής|n20434
μεγαλογνωμοσύνη|n20435
μεγαλογνώμων|n20436
μεγαλοδωρία|n20439
μεγαλοεργής|n20441
μεγαλοεργία|n20442
μεγαλοεργός|n20443
μεγαλοκίνδυνος|n20447
μεγαλοκευθής|n20446
μεγαλοκρατής|n20449
μεγαλοκόρυφος|n20448
μεγαλοπράγμων|n20456
μεγαλοπρέπεια|n20457
μεγαλοπραγμοσύνη|n20455
μεγαλοπρεπής|n20458
μεγαλοσθενής|n20459
μεγαλοσχήμων|n20462
μεγαλοφρονέω|n20464
μεγαλοφροσύνη|n20465
μεγαλοφωνία|n20467
μεγαλοψυχία|n20469
μεγαλωστί|n20474
μεγαλωσύνη|n20475
μεγαλόδενδρος|n20437
μεγαλόδοξος|n20438
μεγαλόδωρος|n20440
μεγαλόθυμος|n20444
μεγαλόμητις|n20450
μεγαλόμισθος|n20451
μεγαλόνοια|n20452
μεγαλόνους|n20453
μεγαλόπολις|n20454
μεγαλόσπλαγχνος|n20460
μεγαλόστονος|n20461
μεγαλότολμος|n20463
μεγαλόφρων|n20466
μεγαλόφωνος|n20468
μεγαλόψυχος|n20470
μεγαλύνω|n20471
μεγαλώνυμος|n20472
μεγαρίζω|n20480
μεγαρεύς|n20479
μεγαρικός|n20481
μεγαροῖ|n20483
μεγαρόθεν|n20482
μεγασθενής|n20486
μεγαυχής|n20488
μεγιστόπολις|n20492
μεγιστᾶνες|n20491
μεδέων|n20493
μεθάλλομαι|n20499
μεθέλκω|n20502
μεθέπω|n20504
μεθήκω|n20510
μεθήμων|n20508
μεθίδρυσις|n20512
μεθίημι|n20514
μεθίστημι|n20515
μεθαιρέω|n20498
μεθαρμόζω|n20500
μεθεκτέος|n20501
μεθημέριος|n20506
μεθημερινός|n20505
μεθημοσύνη|n20507
μεθιδρύω|n20513
μεθοδεία|n20516
μεθοδεύω|n20517
μεθοδηγέω|n20518
μεθομιλέω|n20520
μεθορμάομαι|n20523
μεθορμίζω|n20524
μεθυδριάς|n20525
μεθυδώτης|n20527
μεθυπλήξ|n20530
μεθυπῖδαξ|n20529
μεθυσοκότταβος|n20533
μεθυστικός|n20536
μεθυσφαλής|n20537
μεθό|n20521
μεθόριος|n20522
μεθύδριον|n20526
μεθύσκω|n20532
μεθύστερος|n20535
μεθύω|n20538
μειαγωγέω|n20539
μειαγωγός|n20540
μειδάω|n20541
μειδίαμα|n20543
μειδιάω|n20544
μειλίσσω|n20548
μειλίχιος|n20550
μειλικτήριος|n20547
μειλιχία|n20549
μειλιχόγηρυς|n20551
μειονεκτέω|n20553
μειονεξία|n20554
μειράκιον|n20559
μειρακίσκη|n20561
μειρακίσκος|n20562
μειρακιεξαπάτης|n20557
μειρακιεύομαι|n20558
μειρακιόομαι|n20560
μειρακιώδης|n20563
μειρακύλλιον|n20564
μειόω|n20556
μελάγγαιος|n20570
μελάγκερως|n20571
μελάγκροκος|n20573
μελάγχιμος|n20575
μελάγχλαινος|n20577
μελάγχολος|n20580
μελάγχρους|n20582
μελάγχρως|n20583
μελάμβωλος|n20587
μελάμπεπλος|n20589
μελάμπτερος|n20591
μελάμφυλλος|n20593
μελάναιγις|n20594
μελάνδετος|n20596
μελάνοσσος|n20606
μελάνοστος|n20607
μελάνουρος|n20608
μελάντερος|n20613
μελάνυδρος|n20616
μελάνω|n20617
μελέδημα|n20622
μελέτη|n20637
μελέτημα|n20636
μελέτωρ|n20641
μελία|n20647
μελίβρομος|n20648
μελίγδουπος|n20649
μελίγηρυς|n20650
μελίγλωσσος|n20651
μελίζω2|n20653
