-ί|iota demonstrativum
διαχειρίζω|to have in hand, conduct, manage, administer
διαχειροτονέω|to choose between two
διαχειροτονία|election
διαχλευάζω|strengthd. for χλευάζω Dem.
διαχράομαι|to use constantly or habitually
διαχωρέω|to go through, pass through
διαχωρίζω|to separate
διαχόω|to complete
διαχώρισμα|a cleft, division
διαψήφισις|a voting by ballot
διαψήχω|to cause to crumble away
διαψαίρω|to brush or blow away
διαψεύδω|to deceive utterly
διαψηφίζομαι|to vote in order with ballots
διαψιθυρίζω|to whisper among themselves
διαψύχω|to cool, refresh
διβολία|a double-edged lance, halbert
διδάσκαλος|a teacher, master
διδάσκω|to teach
διδακτέος|one must teach
διδακτικός|apt at teaching
διδακτός|taught, learnt
διδασκάλιον|a thing taught, a science, art, lesson
διδασκαλία|teaching, instruction, education
διδασκαλεῖον|a teaching-place, school
διδασκαλικός|fit for teaching, capable of giving instruction, instructive
διδράσκω|to run away
διδυμάνωρ|touching both the men
διδυμάων|twin-brothers, twins
διδυματόκος|bearing twins
διδυμογενής|twin-born
διείργω|to keep asunder, separate
διείρομαι|to question closely
διείρω|to pass or draw through
διεγγυάω|to give bail for
διεγγύησις|a giving of bail
διειλημμένως|distinctly
διειρωνόξενος|dissembling with one's guests
διειρύω|to draw across
διεκδύομαι|to slip out through
διεκθέω|to run through
διεκπαίω|to break or burst through
διεκπεράω|to pass out through, pass quite through
διεκπεραίνω|to go through with
διεκπλέω|to sail out through
διεκφεύγω|to escape completely
διεκχέω|strengthd. for ἐκχέω Aretae. Cur. M. Ac. 2.5.
διελέγχω|to refute utterly
διελαύνω|to drive through or across
διεμπολάω|to sell to different buyers
διεμφαίνω|to shew through
διενεκτέος|one must excel
διενιαυτίζω|to live out the year
διεντέρευμα|a looking through entrails
διεξέλασις|from διεξελαύνω
διεξέρχομαι|to go through, pass through
διεξίημι|to let pass through
διεξαίσσω|to rush forth
διεξελέγχω|to refute utterly
διεξελίσσω|to unroll, untie
διεξελαύνω|to drive, ride, march through
διεξερέομαι|to learn by close questioning
διεξηγέομαι|strengthd. for ἐξηγέομαι, Xen.
διεξοδικός|detailed
διεξυφαίνω|to finish the web
διεορτάζω|to keep the feast throughout
διερέσσω|to row about
διερίζω|to strive with one another
διεργάζομαι|to make an end of, kill, destroy
διερείδομαι|to lean upon
διερευνάω|to search through, examine closely
διερευνητής|a scout or vidette
διερμηνευτής|an interpreter
διερμηνεύω|to interpret, expound
διερωτάω|to cross-question
διερός|fresh, active, nimble
διερύκω|to keep off, to hinder
διερῶ|to say fully, distinctly, expressly
διεσθίω|to eat through
διεσκεμμένως|prudently
διετής|of or lasting two years
διετήσιος|lasting through the year
διετία|a space of two years
διευθύνω|to set right, amend
διευκρινέω|to separate accurately, arrange carefully
διευλαβέομαι|to take good heed to, beware of, be on one's guard against
διευλαβητέος|one must take heed to
διευνάω|to lay asleep
διευσχημονέω|to preserve decorum
διευτυχέω|to continue prosperous
διεψευσμένως|altogether falsely
διεῖδον|to see thoroughly, discern
διεῖπον|to say through, tell fully or distinctly
διηγέομαι|to set out in detail, describe in full
διηθέω|to strain through, filter
διημερεύω|to stay through the day, pass the day
διηνεκής|continuous, unbroken
διηπειρόω|to make dry land of
διηχέω|to transmit the sound of
διθάλασσος|between two seas, where two seas meet
διθυραμβογενής|Bacchus-born
διθυραμβοδιδάσκαλος|the dithyrambic poet who taught his own chorus
διθύραμβος|the dithyramb
διιθύνω|to direct by steering
διικνέομαι|to go through, penetrate
διιπετής1|@
διιπετής2|@
διιπετής|@
διιστέος|one must learn
διισχυρίζομαι|to lean upon, rely on
διιτέος|one must go through
διιτρεφής|later form of Διοτρεφής, Ar.
δικάζω|to judge, to give judgment on
δικάρηνος|two-headed
δικάστρια|a she-judge
δικέραιος|two-horned, two-pointed
δικίδιον|a little trial
δικαίωμα|an act by which wrong is set right
δικαίωσις|a setting right, doing justice to: punishment
δικαιοκρισία|righteous judgment
δικαιολογέομαι|to plead one's cause before the judge
δικαιοπράγημα|a just or honest act
δικαιοπραγέω|to act honestly
δικαιοπραγία|just or honest dealing
δικαιοσύνη|righteousness, justice
δικαιωτήριον|a house of correction
δικαιόπολις|strict in public faith
δικαιόω|to set right
δικανικός|skilled in law, versed in pleading, lawyer-like
δικασπόλος|one who administers law, a judge
δικαστήριον|a court of justice
δικαστής|a judge
δικαστικός|of or for law
δικελλίτης|a digger
δικεῖν|to throw, cast
δικηφόρος|bringing justice, avenging
δικλίς|double-folding
δικογραφία|the composition of lawspeeches
δικολόγος|a pleader, advocate
δικορράφος|a pettifogger.
δικορραφέω|to get up a lawsuit
δικρατής|co-mate in power
δικτάτωρ|dictator
δικτατωρεία|the dictatorship
δικτυβολέω|to cast the net
δικτυβόλος|a fisherman
δικτυόκλωστος|woven in meshes
δικτυόομαι|to be caught in a net
δικωπία|a pair of sculls
δικόρυμβος|two-pointed, two-peaked
δικόρυφος|two-peaked
διλογέω|to say again, repeat
διλογία|repetition
διμναῖος|worth or costing two minae
διμοιρία|a double share
δινήεις|whirling, eddying
δινεύω|to whirl or twirl round
δινητός|whirled round
δινωτός|turned, rounded
δινώδης|eddying
διοίγνυμι|to open
διοίκησις|government, administration
διοίχομαι|to be quite gone by
διογενέτωρ|giving birth to Zeus
διογενής|sprung from Zeus
διοδεύω|to travel through
διοδοιπορέω|= diodeu/w, Hdt.
διοιδέω|strengthd. for οἰδέω Luc.
διοικέω|to manage a house
διοικίζω|to cause to live apart
διοικισμός|a dispersion
διοικοδομέω|to build across, wall off
διοιστέος|one must move round
διοιστεύω|to shoot an arrow through
διοιχνέω|to go through
διοκωχή|a cessation
διολισθάνω|to slip through, to give
διομήδειος|of or like Diomedes
διομήδης|Jove-counselled
διομαλίζω|to be always evenminded
διομειαλαζών|a braggart of the deme Diomeia
διομολογέω|to make an agreement, undertake
διομολογητέος|one must concede
διομολόγησις|a convention
διονομάζω|to distinguish by a name
διονυσιάζω|to keep the Dionysia
διονυσιάς|fem. of Διονυσιακός, Eur.
διονυσιακός|belonging to Dionysus
διονύσια|the feast of Dionysus or Bacchus
διοπετής|that fell from Zeus
διοπεύω|to be in charge of a ship
διοπτήρ|a spy, scout
διοπτεύω|to watch accurately, spy about
διοπτρικός|of, belonging to the use of the
διοράω|to see through, see clearly
διορίζω|to draw a boundary through, divide by limits, separate
διορθεύω|to judge rightly
διορθωτής|a corrector, reformer
διορθόω|to make quite straight, set right, amend
διορχέομαι|to dance
διορύσσω|to dig through or across
διοσημία|a sign from Zeus, an omen from the sky
διοσκόρειον|the temple of the Dioscuri
διοτρεφής|cherished by Zeus
διοχετεύομαι|to be watered by canals
διοχλέω|to trouble or annoy exceedingly
διπάλαιστος|two palms broad
διπλάδιος|double
διπλάζω|to double
διπλάσιος|twofold, double, twice as much as, twice as many as, as long as
διπλασιάζω|to double
διπλασιόομαι|to become twofold
διπλοίζω|= διπλασιάζω, Aesch.
διπλοίς|a double cloak
διπλόος|twofold, double
διπλόω|to double
διπλῇ|twice, twice over
διπολιώδης|like the
διπόδης|two feet long, broad
διπόλεια|festival of Zeus
διπόταμος|between two rivers
δισθανής|twice dead
δισκέω|to pitch the quoit
δισκεύω|to be pitched
δισκοβόλος|the quoit-thrower
δισκοφόρος|bringing the discus
δισμύριοι|twenty thousand
δισσάρχης|joint-ruling
δισσός|two-fold, double
διστάζω|to be in doubt, hesitate
δισχίλιοι|two thousand
δισύλλαβος|of two syllables
διτάλαντος|worth or weighing two talents
διυλίζω|to strain off
διυπνίζω|to awake from sleep
διυφαίνω|to fill up by weaving
διφάσιος|two-fold, double
διφάω|to search after
διφήτωρ|a searcher
διφθέρα|a prepared hide, tanned skin, piece of leather
διφθέρινος|of tanned leather
διφθερίας|one clad in leather
διφρεία|chariot-driving
διφρευτής|a charioteer
διφρεύω|to drive a chariot
διφρηλάτης|a charioteer
διφρηλατέω|to drive a chariot through
διφρουλκέω|to draw a chariot
διφροφορέω|to carry in a chair or litter
διφροφόρος|carrying a camp-stool
διφυής|of double form
διχάζω|to divide in two
διχήρης|dividing
διχαστής|a divider
διχθά|in twain
διχθάδιος|twofold, double, divided
διχοίνικος|holding
διχογνωμονέω|to differ in opinion
διχογνώμων|divided between two opinions
διχομηνία|the fullness of the moon
διχορραγής|broken in twain
διχοστασία|a standing apart, dissension
διχοστατέω|to stand apart, disagree
διχοτομέω|to cut in two, cut in twain
διχόθεν|from both sides, both ways
διχόμηνος|dividing the month
διχόμυθος|double-speaking
διχόνοια|discord, disagreement
διχόνοος|double-minded.
διχόρροπος|oscillating
διχότομος|cut in half, divided equally
διχόφρων|at variance, discordant
διχῆ|in two, asunder
διχῶς|doubly, in two ways
διψάς|fem. of δίψιος, Anth.
διψάω|to thirst
διψαλέος|thirsty
διωβελία|the allowance of two obols
διωγμός|the chase
διωθέω|to push asunder, tear away
διωθισμός|a pushing about, a scuffle
διωκτέος|to be pursued
διωκτήρ|a pursuer
διωλένιος|with out-stretched arms
διωλύγιος|far-sounding, enormous, immense
διωμοσία|an oath taken by both parties before the trial came on
διωξικέλευθος|urging on the way
διωρυχή|a digging through
διό|wherefore, on which account
διόβολος|hurled by Zeus
διόθεν|sent from Zeus, by his will or favour
διόλλυμι|to destroy utterly, bring to naught
διόμνυμι|to swear solemnly, to declare on oath that . .
διόνυσος|Dionysus
διόπαις|son of Zeus
διόπερ|δι᾽ ὅπερ, = διό, Thuc.
διόπτης|a looker through
διόπτρα|an instrument for measuring heights, a Jacob's staff
διόργυιος|two fathoms long, high
διόρθωμα|a making straight, amendment
διόρθωσις|a making straight, restoration, reform
διόρισις|distinction
διόρυγμα|a through-cut, canal
διόσδοτος|given by Zeus
διόσκοροι|the sons of Zeus
διότι|for the reason that, since
διώδυνος|with thrilling anguish
διώκω|to pursue
διώμοτος|bound by oath
διώνυμος|with two names
διώξιππος|horse-driving
διῶρυξ|a trench, conduit, canal
δμητήρ|a tamer
δμωή|a female slave taken in war
δμώιος|in servile condition
δμώς|a slave taken in war
δμῆσις|a taming, breaking
δνοπαλίζω|to shake violently, fling down
δνοφερός|dark, dusk, murky
δνόφος|darkness, dusk, gloom
δοάσσατο|it seemed
δογματίζω|to decree
δοθιήν|a small abscess, boil
δοιή|doubt, perplexity
δοιδυκοποιός|a pestle-maker
δοιοί|two, both
δοιοτόκος|bearing twins
δοιώ|= δοιοί, of which it is properly the dual, = δύο, indecl., Hom.
δοκέω|videor mihi, to think, suppose, imagine, expect
δοκή|a vision, fancy
δοκεύω|to keep an eye upon, watch narrowly
δοκησίσοφος|wise in one's own conceit
δοκιμάζω|to assay or test
δοκιμή|a proof, test: tried character
δοκιμασία|an assay, examination, scrutiny
δοκιμαστής|an assayer, scrutineer
δοκιμεῖον|a test, means of testing
δοκός|a bearing-beam
δολίχαυλος|with a long tube or socket
δολερός|deceitful, deceptive, treacherous
δολιχήρετμος|long-oared
δολιχεγχής|with tall spear
δολιχεύω|= δολιχοδρομέω, Anth.
δολιχογραφία|prolix writing
δολιχοδρομέω|to run the
δολιχοδρόμος|running the long course
δολιχόδειρος|long-necked
δολιχός|long
δολιχόσκιος|casting a long shadow
δολιόπους|stealthy of foot
δολιόφρων|crafty of mind
δολιόω|to deal treacherously with
δολομήτης|crafty of counsel, wily
δολοπλοκία|subtlety, craft
δολοπλόκος|weaving wiles
δολοποιός|treacherous, ensnaring
δολορράφος|contriving wiles.
δολοφονέω|to murder by treachery
δολοφραδής|wily-minded
δολοφρονέων|planning craft, wily-minded
δολοφροσύνη|craft, subtlety, wiliness
δολοφόνος|slaying by treachery
δολόεις|subtle, wily
δολόμυθος|subtle-speaking
δολόω|to beguile, ensnare, take by craft
δολῶπις|artful-looking, treacherous
δομή|a building.
δομαῖος|for building
δομοσφαλής|shaking the house
δονέω|to shake
δονακεύομαι|to fowl with reed and birdlime
δονακεύς|a thicket of reeds
δονακογλύφος|reed-cutting, pen-making
δονακοτρόφος|producing reeds
δονακόεις|reedy
δονακόχλους|green with reeds
δονακῖτις|of reed
δοξάζω|to think, imagine, suppose, fancy, conjecture
δοξαστός|matter of opinion, conjectural
δοξοκοπέω|to court popularity
δοξοκοπία|thirst for popularity
δοξοκόπος|thirsting for popularity.
δοξομανής|mad after fame.
δοξομανία|mad desire for fame
δοξοματαιόσοφος|a would-be philosopher
δοξοσοφία|conceit of wisdom
δοξόομαι|to have the character or credit
δοξόσοφος|wise in one's own conceit
δορά1|a skin, hide
δορά|a skin, hide
δορήιος|wooden
δορίγαμβρος|bride of battles
δορίκρανος|spear-headed
δορίκτητος|won by the spear
δορίληπτος|won by the spear
δορίμαργος|raging with the spear
δορίπαλτος|wielding the spear
δορίπονος|toiling with the spear
δορίτμητος|pierced by the spear
δορίτολμος|bold in war
δορατισμός|a fighting with spears
δορατοπαχής|of a spear's thickness
δοριάλωτος|captive of the spear, taken in war
δοριθήρατος|taken by the spear
δορικανής|slain by the spear
δοριμήστωρ|master of the spear
δοριμανής|raging with the spear
δοριπετής|fallen by the spear
δοριπτοίητος|scattered by the spear
δορισθενής|mighty with the spear
δοριστέφανος|crowned for bravery
δοριτίνακτος|shaken by battle
δορκάδειος|of an antelope
δορκάς|a kind of deer
δορκαλίς|made of the vertebrae of an antelope
δορπέω|to take supper
δορπία|the eve
δορπηστός|supper-time, evening
δορυδρέπανον|halbert
δορυξόος|a maker of spears
δορυσσόης|of battle
δορυσσόος|charging with the lance
δορυφορέω|to attend as a bodyguard
δορυφορία|guard kept over
δορυφόρημα|a body of guards
δορυφόρος|spear-bearing
δορός|a leathern bag or wallet
δορύξενος|a spear-friend
δοτέος|to be given
δοτήρ|a giver, dispenser
δουλαγωγέω|to make a slave, treat as such
δουλεία|servitude, slavery, bondage
δουλευτέος|one must be a slave
δουλεύω|to be a slave
δουλικός|of or for a slave, servile
δουλοπρέπεια|a slavish spirit
δουλοπρεπής|befitting a slave, servile
δουλοσύνη|slavery, slavish work
δουλόσυνος|enslaved
δουλόω|to make a slave of, enslave
δουπέω|to sound heavy or dead
δουπήτωρ|a clatterer
δουράτεος|of planks or beams of wood
δουρίπηκτος|fixed on spears
δουρηνεκής|a spear's throw off or distant
δουρικλειτός|famed for the spear
δουριτυπής|wood-cutting
δουροδόκη|a case or stand for spears
δουροτόμος|cutting wood
δοχή|a receptacle
δοχήιον|a holder
δοχμή|the space contained in a hand's breadth
δοχμόλοφος|with slanting, nodding plume
δοχμόομαι|to turn sideways
δοχμός|slantwise
δούλειος|slavish, servile
δούλευμα|a service
δούλιος|slavish, servile
δούλωσις|enslaving, subjugation
δοῖδυξ|a pestle
δοῦλος1|a born bondman or slave
δοῦλος|a born bondman or slave
δοῦπος|any dead, heavy sound, a thud
δράγμα|as much as one can grasp, a handful, truss
δράκαινα|a shedragon
δράκων|a dragon
δράμημα|a running, course, a race
δράσιμος|activity
δράσσομαι|to grasp
δράω1|to do
δράω|to do
δρέπανον|a scythe
δρέπτω|to pluck
δρέπω|to pluck, cull
δρίος|a copse, wood, thicket
δραίνω|to be ready to do
δραγματηφόρος|carrying sheaves
δραγμεύω|to collect the corn into sheaves
δραγμός|a grasping
δρακοντολέτης|serpent-slayer
δρακοντόμαλλος|with snaky locks
δρακοντώδης|snake-like
δρακόντειος|of a dragon
δραματουργία|dramatic work, a drama
δραματουργός|a dramatist.
δραπέτης|a runaway
δραπετεύω|to run away
δραπετικός|of or for a
δρασείω|to have a mind to do, to be going to do
δρασμός|a running away, flight
δραστέος|to be done
δραστήριος|vigorous, active, efficacious
δρατός|skinned, flayed
δραχμή|a handful
δραχμιαῖος|worth a drachma, to the amount of a drachma
δρεπάνη|a sickle, reaping-hook
δρεπανηφόρος|bearing a scythe
δρεπανοειδής|sickle-shaped
δρεπανουργός|a sword-maker, armourer
δρησμοσύνη|Lat. cultus, Hhymn.
δρηστήρ|a labourer, working man
δρηστοσύνη|service
δριμύλος|piercing
δριμύς|piercing, sharp, keen
δριμύτης|pungency
δροίτη|a bath
δρομάς|running
δρομάω|to run
δρομαῖος|running at full speed, swift, fleet
δρομεύς|a runner
δρομικός|good at running, swift, fleet
δρομοκῆρυξ|a runner, postman
δροσίζω|to bedew, besprinkle
δροσερός|dewy, watery
δροσώδης|like dew, moist
δρυάς|a Dryad
δρυμός|an oak-coppice
δρυοκοίτης|dweller on the oak
δρυοκολάπτης|the woodpecker
δρυτόμος|a wood-cutter
δρωπακίζω|to get rid of hair by pitch-plasters
δρόμος|a course, running, race
δρόσος|dew
δρύινος|oaken
δρύοχοι|the props or trestles
δρύοψ|woodpecker
δρύππα|Lat. druppa, an over-ripe olive, Anth.
δρύπτω|to tear, strip
δρύφακτος|a fence or railing
δρύψια|parings
δρᾶμα|a deed, act
δρῦς1|@
δρῦς2|@
δρῦς|@
δρῶπαξ|a pitch-plaster.
δυάς|the number two
δυάω|to plunge in misery
δυήπαθος|much-suffering
δυνάστης|a lord, master, ruler
δυναμόω|to strengthen
δυναστεία|power, lordship, sovereignty
δυναστεύω|to hold power or lordship, be powerful
δυναστικός|arbitrary
δυνατέω|to be powerful, mighty
δυνατός|strong, mighty, able
δυοκαίδεκα|twelve
δυοκαιδεκάμηνος|μήν
δυς|un- or mis-
δυσάγων|having seen hard service
δυσάδελφος|unhappy in one's brothers
δυσάθλιος|most miserable
δυσάλγητος|hard-hearted
δυσάλωτος|hard to catch or take
δυσάμμορος|most miserable
δυσάνεμος|doric for δυσήνεμος, Soph.
δυσάντητος|disagreeable to meet, boding of ill
δυσάπιστος|very disobedient
δυσάρεστος|hard to appease, implacable
δυσάρμοστος|ill-united
δυσέκθυτος|hard to avert by sacrifice
δυσέκλυτος|hard to undo
δυσέκνιπτος|hard to wash out
δυσέκφευκτος|hard to escape from
δυσέλεγκτος|hard to refute
δυσέλπιστος|unhoped for
δυσέμβατος|hard to walk on
δυσέμβολος|hard to enter, inaccessible
δυσέντευκτος|hard to speak with
δυσέξαπτος|hard to loose from bonds
δυσέξοδος|hard to get out of
δυσέραστος|unfavourable to love
δυσέρημος|very lonely, desolate
δυσέριστος|shed in unholy strife
δυσήκεστος|hard to heal or cure
δυσήκους|hard of hearing
δυσήλιος|sunless
δυσίατος|hard to heal, incurable
δυσαής|ill-blowing, stormy
δυσαίθριος|not clear, murky
δυσαίων|living a hard life, most miserable
δυσαγρέω|to have bad sport in fishing
δυσαγρής|unlucky in fishing.
δυσαιανής|most melancholy
δυσαλγής|very painful
δυσανάκλητος|hard to call back
δυσανάπλους|hard to sail up
δυσανάσχετος|hard to bear.
δυσανάτρεπτος|hard to overthrow
δυσανακόμιστος|hard to bring back or recal
δυσανασχετέω|to bear ill
δυσαντίβλεπτος|hard to look in the face
δυσαπάλλακτος|hard to get rid of
δυσαπόδεικτος|hard to demonstrate
δυσαπόκριτος|hard to answer
δυσαπότρεπτος|hard to dissuade
δυσαριστοτόκεια|unhappy mother of the noblest son
δυσαρμοστία|disagreement
δυσαυλία|ill or hard lodging
δυσαφαίρετος|hard to take away
δυσαχής2|most painful
δυσαχής|most painful
δυσβάστακτος|grievous to bear
δυσβάυκτος|sadly wailing
δυσβίοτος|making life wretched
δυσβατοποιέομαι|to make impassable
δυσβουλία|ill counsel
δυσγάργαλις|very ticklish, skittish
δυσγένεια|low birth
δυσγενής|low-born
δυσγεφύρωτος|hard to bridge over
δυσγνωσία|difficulty of knowing
δυσγοήτευτος|hard to seduce by enchantments
δυσδάκρυτος|sorely wept
δυσδίοδος|hard to pass through
δυσδαίμων|of ill fortune, ill-fated
δυσδαιμονία|misery
δυσδιάθετος|hard to settle
δυσδιάλυτος|hard to reconcile
δυσδιαίτητος|hard to decide
δυσδιερεύνητος|hard to search through
δυσείματος|meanly clad
δυσείσβολος|hard to enter
δυσείσπλους|hard to sail into
δυσειδής|unshapely, ugly
δυσεκπέρατος|hard to pass out from
δυσελένα|ill-starred Helen
δυσεντερία|dysentery
δυσεξέλεγκτος|hard to refute
δυσεξέλικτος|hard to unfold
δυσεξήνυστος|indissoluble
δυσεξαπάτητος|hard to deceive
δυσεξαρίθμητος|hard to enumerate
δυσεξερεύνητος|hard to investigate
δυσεξημέρωτος|hard to tame
δυσεπιβούλευτος|hard to attack secretly
δυσεργία|difficulty in acting
δυσερμήνευτος|hard to interpret
δυσευνήτωρ|an ill bedfellow
δυσεύρετος|hard to find out
δυσζήτητος|hard to seek or track
δυσηλεγής|laying
δυσηνιόχητος|ungovernable
δυσηχής|ill-sounding, hateful
δυσθάνατος|bringing a hard death
δυσθέατος|ill to look on
δυσθήρατος|hard to catch
δυσθαλπής|hard to warm: chilly
δυσθανής|having died a hard death
δυσθανατέω|to die hard, die a lingering death
δυσθεράπευτος|hard to cure
δυσθετέομαι|to be much vexed
δυσθνήσκω|= δυσθανατέω, only in part., Eur.
δυσθρήνητος|loud-wailing, most mournful
δυσθυμέω|to be melancholy, angry
δυσθυμία|despondency, despair
δυσιερέω|to have bad omens in a sacrifice
δυσιθάλασσος|dipped in the sea
δυσκάθαρτος|hard to satisfy by purification or atonement
δυσκάθεκτος|hard to hold in
δυσκέλαδος|ill-sounding, shrieking, discordant
δυσκίνητος|hard to move
δυσκαρτέρητος|hard to endure
δυσκατάπαυστος|hard to check, restless
δυσκατάπρακτος|hard to effect
δυσκατάστατος|hard to restore or rally
δυσκατέργαστος|= δυσκατάπρακτος, Xen.
δυσκαταμάθητος|hard to learn or understand
δυσκαταφρόνητος|not to be despised
δυσκηδής|full of misery
δυσκλεής|infamous, shameful
δυσκοινώνητος|unsocial
δυσκολία|discontent, peevishness
δυσκολαίνω|to be peevish or discontented
δυσκολόκαμπτος|hard to bend
δυσκολόκοιτος|making bed uneasy
δυσκρασία|bad temperament
δυσκωφέω|to be stone-deaf
δυσκόλλητος|ill-glued or fastened, loose
δυσκόμιστος|hard to bear, intolerable
δυσκύμαντος|arising from the stormy sea
δυσλόγιστος|ill-calculating
δυσμένεια|ill-will, enmity
δυσμή|setting
δυσμήνιτος|visited by heavy wrath
δυσμήτηρ|not a mother
δυσμήχανος|hard to effect.
δυσμίμητος|hard to imitate
δυσμαθέω|to be slow at recognising
δυσμαθής|hard to learn
δυσμαθία|slowness at learning
δυσμαχέω|to fight in vain against
δυσμαχητέος|one must fight desperately with
δυσμενέων|bearing ill-will, hostile
δυσμενής|full of ill-will, hostile
δυσμεταχείριστος|hard to manage: hard to attack
δυσμηχανέω|to be at loss how
δυσμορία|a hard fate
δυσμορφία|badness of form, ugliness
δυσνίκητος|hard to conquer
δυσνοέω|to be ill-affected
δυσνομία|lawlessness, a bad constitution
δυσνύμφευτος|unpleasing to marry
δυσξύμβολος|hard to deal with, driving a hard bargain
δυσξύνετος|hard to understand, unintelligible
δυσοίζω|to be distressed, to fear
δυσοίκητος|bad to dwell in
δυσοδέω|to make bad way, get on slowly
δυσοδοπαίπαλος|difficult and rugged
δυσοσμία|an ill smell, ill savour
δυσούριστος|driven by a too favourable wind, fatally favourable
δυσπάθεια|firmness in resisting
δυσπάλαιστος|hard to wrestle with
δυσπάλαμος|hard to conquer
δυσπάρευνος|ill-mated
δυσπάρθενος|unhappy maiden
δυσπάριτος|hard to pass
δυσπέμφελος|rough and stormy
δυσπέρατος|hard to get through
δυσπήμαντος|full of grievous evil, disastrous
δυσπαθέω|to suffer a hard fate
δυσπαθής|impatient of suffering
δυσπαλής|hard to wrestle with
δυσπαράβλητος|incomparable
δυσπαρήγορος|hard to appease
δυσπαραίτητος|hard to move by prayer, inexorable
δυσπαρακόμιστος|hard to carry along, difficult
δυσπαραμύθητος|hard to appease
δυσπειθής|hardly obeying, self-willed, intractable
δυσπενθής|bringing sore affliction, direful
δυσπερίληπτος|hard to encompass
δυσπετής|falling out ill, most difficult
δυσπινής|squalid
δυσπλοία|difficulty of sailing
δυσπολέμητος|hard to war with
δυσπολιόρκητος|hard to take by siege
δυσπονής|toilsome
δυσπορία|difficulty of passing
δυσπραγέω|to be unlucky
δυσπραξία|ill success, ill luck
δυσπρεπής|base, undignified
δυσπροσπέλαστος|hard to get at
δυσπρόσβατος|hard to approach
δυσπρόσιτος|difficult of access
δυσπρόσμαχος|hard to attack
δυσπρόσοδος|hard to get at, difficult of access
δυσπρόσοιστος|hard to approach
δυσπρόσοπτος|hard to look on, horrid to behold
δυσπρόσωπος|of ill aspect
δυσπόλεμος|unlucky in war
δυσπόνητος|bringing toil and trouble
δυσπόρευτος|hard to pass
δυσπόριστος|gotten with much labour
δυσραγής|hard to break
δυσσέβεια|impiety, ungodliness
δυσσεβέω|to think or act ungodly
δυσσεβής|ungodly, impious, profane
δυσσεβία|poet. for δυσσέβεια, Aesch.
δυσσύνοπτος|hard to get a view of
δυστάλας|most miserable
δυστέκμαρτος|hard to make out from the given signs, hard to trace, inexplicable
δυστήρητος|hard to keep
δυστερπής|ill-pleasing
δυστλήμων|suffering hard things
δυστοκέω|to be in sore travail
δυστοκεύς|an unhappy parent
δυστομέω|to speak evil of
δυστράπεζος|fed on horrid food
δυστράπελος|hard to deal with, intractable, stubborn
δυστυχέω|to be unlucky, unhappy, unfortunate
δυστυχής|unlucky, unfortunate
δυστυχία|ill luck, ill fortune
δυστόπαστος|hard to guess
δυστόχαστος|hard to hit
δυστύχημα|a piece of ill luck, a failure
δυσυπόστατος|hard to withstand
δυσφαής|scarce visible
δυσφημέω|to use ill words
δυσφημία|ill language, words of ill omen
δυσφιλής|hateful
δυσφορέω|to bear with pain, bear ill
δυσφροσύνη|anxiety, care
δυσφρόνη|troubles
δυσφρόνως|rashly
δυσφόρητος|hard to bear
δυσφόρμιγξ|unsuited to the lyre
δυσφύλακτος|hard to keep off or prevent
δυσχέρεια|annoyance or disgust
δυσχείμερος|suffering from hard winters, very wintry, freezing
δυσχείρωμα|a thing hard to be subdued, a hard conquest
δυσχείρωτος|hard to subdue
δυσχερής|hard to take in hand or manage
δυσχεραίνω|to be unable to endure
δυσχλαινία|mean clothing
δυσχρηστέω|to be in difficulty or distress
δυσχωρία|difficult, rough ground
δυσωνέω|to beat down the price, cheapen
δυσωπέω|to put out of countenance, put to shame
δυσωρέομαι|to keep painful watch
δυσόμιλος|hard to live with, bringing evil in one's company
δυσόμματος|scarce-seeing, purblind
δυσόρατος|hard to see
δυσόργητος|= δύσοργος, Babr.
δυσόρφναιος|dusky
δυσώδης|ill-smelling
δυσώδινος|causing grievous pangs
δυσώνης|one who beats down the price.
δυσώνυμος|bearing an ill name, ill-omened
δυωδεκάβοιος|worth twelve beeves
δυωδεκάμηνος|twelve months old
δυωδεκάμοιρος|divided into twelve parts
δυωκαιεικοσίμετρος|holding
δυωκαιεικοσίπηχυς|cubits long
δυώδεκα1|@
δυώδεκα2|@
δυώδεκα|@
δωδέκατος|the twelfth
δωδεκάγναμπτος|bent twelve times
δωδεκάδαρχος|a leader of twelve
δωδεκάδραχμος|sold at
δωδεκάδωρος|twelve palms long
δωδεκάεθλος|conqueror in
δωδεκάκις|twelve times
δωδεκάλινος|of twelve threads
δωδεκάπαις|with twelve children
δωδεκάπαλαι|twelve times long ago, ever so long ago
δωδεκάπηχυς|twelve cubits long
δωδεκάπολις|formed of twelve united states
δωδεκάρχης|= δωδεκάδαρχος, Xen.
δωδεκάς|the number twelve
δωδεκάσκαλμος|twelve-oared
δωδεκάσκυτος|of twelve pieces of leather
δωδεκάφυλος|of twelve tribes
δωδεκέτης|twelve years old
δωδεκαετής|years old
δωδεκαμήχανος|knowing twelve arts or tricks
δωδεκαταῖος|on the twelfth day
δωδεκαφόρος|bearing twelve times a year
δωδωναῖος|of Dodona
δωδώνη|Dodona
δωμάτιον|a chamber, bed-chamber
δωμάω|to build
δωματοφθορέω|to ruin the house
δωματῖτις|of the house
δωρέω|to give, present
δωρίζω|to imitate the Dorians in life, dialect
δωρίς|Dorian
δωρεά|a gift, present
δωρητήρ|a giver
δωρητός|open to gifts or presents
