Αἰάντειος,of Ajax
κανθηλικός,belonging to a pack-saddle
κανθός,corner of the eye
κανθύλη,swelling, tumour
κανθώδης,curved
κανθᾰροποιός,maker of
κανθᾰρώδης,like a beetle
κανθᾰρώλεθρος,death-to-beetles
καννάβῐνος,like hemp
κανναβάριος,canabae) booth-keeper, stall-holder
κανναβίσκα,hempen shoes
κανυσῖνος,dress of Canusian wool
κανᾰβιουργός,maker of
καπέτις,of the
καπήλτια,projecting piece at a ship's stern
καπίθη,a Persian measure containing two
καπίστριον,halter
καπνέλαιον,oily resin
καπνίας,smoky
καπνίζω,make smoke
καπνίτης,smoky
καπναύγης,smoke-observer, diviner
καπνείω,turn into smoke
καπνηλός,smoky
καπνιάω,smoke
καπνιαῖος,smoky
καπνιστέον,one must smoke, 'gas'
καπνιστήριον,vapour-bath
καπνιστός,smoked
καπνοδόκη,smoke-receiver
καπνοδόχος,receiving smoke
καπνοειδής,smokecoloured
καπνοκορτῠάζομαι,leap, frisk
καπνοποιός,making smoke, smoky
καπνοσφράντης,smoke-sniffer
καπνοῦχος,chimney
καπνωτήριον,altar
καπνόμαντις,smoke-diviner
καπνόομαι,to be turned into smoke, burnt to ashes
καπνός,smoke
καπνώδης,smoky
καππῠρίζω,catch fire
καπράω,want the boar
καπρία,the ovary of sows
καπρίολος,furcilla
καπροφάγος,eating boar's flesh
καπροφόνος,killing wild boars
καπρών,pig-sty
καπρῴζομαι,rut
καρανώ,goat
καρβάτινος,made of hide
καρβᾰτιών,engine
καρδάμωμον,cardamum, Elettaria Cardamomum
καρδία,heart
καρδιακός,of or belonging to the heart
καρδικός,heart-shaped
καρδιᾶτις,five
καρδοπεῖον,cover of a kneading-trough
καρδοπογλύφος,scooping out kneading-troughs
καρδᾰμάλη,loaf or cake made of
καρδᾰμίζω,to be like cress
καρδῐαλγέω,suffer from heartburn
καρδῐαλγής,suffering from heartburn
καρδῐαλγία,heartburn
καρδῐαλγικός,afflicted with heartburn
καρδῐηβολέω,lay to heart
καρδῐοβολέομαι,to be stricken in heart, grieved
καρδῐοβόλος,affecting the cardia
καρδῐογνώστης,knower of hearts
καρδῐοειδής,heart-shaped
καρδῐουλκέω,draw the heart of the victim
καρδῐουλκία,drawing out the heart
καρδῐοφύλαξ,breastplate
καρδῐόδαιτος,feasting on
καρδῐόδηκτος,gnawing the heart
καρδῐότης,praecordia
καρδῐότρωτος,wounded in the heart
καρδῐόω,hearten
καρδῐώσσω,have heartburn or stomach-ache
καριόω,kill
καρκάδων,the fee paid to Charon by the dead
καρκί̆νηθρον,Polygonum
καρκί̆νιον,hermit-crab, Pagurus
καρκί̆νωσις,formation of a cancerous growth
καρκίνος,crab
καρκαίρω,quake
καρκαρίς,load of timber
καρκῐνίας,crab-coloured gem
καρκῐνευτής,crab-catcher
καρκῐνοβάτης,walking like a crab
καρκῐνοειδής,of the crab kind
καρκῐνόπους,crab-footed
καρκῐνόχειρες,with crab's claws for hands
καρκῐνόω,make crab-like
καρκῐνώδης,cancerous
καρναβάδιον,caraway, Carum Carui
καροῦχα,carruca, carriage
καρπάλῐμος,swift
καρπάσινος,made of
καρπάσιον,flax
καρπήσιον,an aromatic plant, Valeriana Dioscoridis
καρπίζω,enjoy the fruits of
καρπίζω1,enjoy the fruits of
καρπίζω2,enfranchise a slave by touching him with the rod
καρπαία,mimic dance
καρπεία,usufruct, enjoyment
καρπεύω,enjoy the fruits of
καρπισμός,exhaustion
καρπισμός1,exhaustion
καρπισμός2,vindiciae
καρπιστής,emancipator
καρπιστικός,connected with emancipation
καρποβάλσᾰμον,the fruit of the balsam
καρπογονέω,to be productive, bear fruit
καρπογονία,productiveness
καρποδέσμιος,wearing a knee-halter
καρποδαιστάς,distributor of produce
καρποδότειρα,giver of fruit
καρπολογέω,gather fruit
καρπολογία,gathering of fruit
καρπολόχος,bearing fruit
καρπομᾰνής,running to fruit, luxuriant
καρποποιός,making fruit
καρποσπόρος,sowing fruit
καρποτελής,bringing fruit to perfection, fruitful
καρποτοκέω,bear fruit
καρποτοκία,bearing of fruit
καρποτρόφος,rearing or ripening fruit
καρποφάγος,living on fruit
καρποφθόρος,spoiling fruit
καρποφορέω,bear fruit
καρποφορία,fruit-bearing
καρποφόρημα,fruit borne
καρποφύλαξ,watcher of fruit
καρποφᾰγέω,live on fruit
καρπωνία,fruit-buying, PLond.ined.
καρπωτός,reaching to the wrist
καρπόβρωτος,with edible fruit
καρπόγονος,bearing fruit
καρπόδεσμα,chains for the arms, armlets
καρπόδεσμος,bandage for wrist
καρπόλογος,gathering fruit
καρπός,fruit
καρπός1,fruit
καρπός2,wrist
καρπότοκος,bearing fruit
καρπόφορος,fruit-bearing, fruitful
καρπόω,bear fruit or bear as fruit
καρπύλη,Indian plant
καρπώδης,fruitful
καρπώνης,buyer of fruit
καρπώσιμος,yielding fruit, profitable
καρρίον,covinnus
καρρικός,sufficient to fill a wagon
καρτάλαμον,fiscella
καρτέον,one must shear
καρτέρημα,act of endurance
καρτέρησις,bearing patiently, patience
καρταίπους,larger cattle, beasts
καρτερέω,to be steadfast, patient
καρτερία,patient endurance, perseverance
καρτερικός,capable of endurance, patient
καρτεροβρόντης,thundering mightily
καρτεροπληγής,striking fiercely
καρτεροψῡχία,strength of spirit
καρτερούντως,strongly, stoutly
καρτερόθῡμος,stronghearted
καρτερόπονος,bearing labours stoutly
καρτερός,strong, staunch
καρτερόφρων,stout-hearted
καρτερόω,strengthen
καρτός,shorn smooth
καρτός1,shorn smooth
καρυδόω,castrate
καρφίον,suckers
καρφίτης,built of
καρφεῖα,ripe fruit
καρφηρός,of dry straw
καρφισμός,gleaning
καρφοειδής,like dry sticks
καρφολογέω,gather dry twigs
καρφόω,nail
καρφώδης,full of
καρφᾰλέος,dry, parched
καρφᾱμάτιον,rake for collecting fallen ears of corn
καρχήσιον,drinking-cup
καρχήσιος,halyards of a ship
καρχᾰλέος,rough
καρχᾰρίας,shark
καρχᾰρόδους,with saw-like teeth
καρόκερκος,Head and Tail
καρώ,caraway
κασίδιον,cassis, helmet
κασαυρεῖον,brothel
κασκός,little finger
κασοποιός,maker of thick garments
κασσίζω,look, taste
κασσίτερος,tin
κασσιτερᾶς,tinker
κασσύω,stitch, sew together like a shoemaker
κασσῐτέρινος,made of tin
κασσῐτερουργός,tinker
κασσῐτερόω,plate with tin
κασταναϊκόν,chestnut-grove
καστανικαί,chestnut-tree
καστεία,castus
καστορίδες,hounds
καστορίζω,to be like castor
κασωτός,thick
κασῆς,skin
κασῆς1,skin
κατά,downwards.
κατά1,downwards.
κατάβλημα,overthrow
κατάβολος,stewpond, oyster-bank
κατάβορρος,sheltered from the north
κατάβρεξις,soaking
κατάβροχος,inundated
κατάβρωμα,that which is eaten, food
κατάβρωσις,eating up, devouring
κατάβᾰσις,way down, descent
κατάγαστρον,stomach-band
κατάγαστρος,gluttonous
κατάγγελσις,giving of information
κατάγγελτος,denounced, betrayed
κατάγειος,under the earth, subterranean
κατάγελος,rich in herds
κατάγελως,derision
κατάγλισχρος,viscous
κατάγλυμμα,sculptured ornament
κατάγλωττος,glib, fluent
κατάγλῠφος,carved
κατάγνωσις,thinking ill of, low or contemptuous opinion of
κατάγνῡμι,break in pieces, shatter
κατάγομος,deep-laden, heavy-laden
κατάγραπτος,striped, variegated
κατάγρᾰφος,drawn in profile
κατάγχω,strangle
κατάγω,lead down
κατάγῠνος,much given to women
κατάδενδρος,thickly wooded
κατάδεσις,binding fast
κατάδεσμος,tie, band
κατάδηλος,manifest, visible
κατάδημα,band, fastening
κατάδοσις,instalment
κατάδουλος,slave
κατάδρομος,overrun, wasted
κατάδρυμμα,tearing, rending
κατάδρυμος,thickly wooded
κατάδῐκος,having judgement given against
κατάδῠσις,dipping
κατάζευγμα,cross-beams
κατάζευξις,yoking
κατάζωσμα,body of initiates wearing a special girdle
κατάζῡμος,fermented
κατάθελξις,enchantment
κατάθεμα,accursed thing
κατάθεος,godly
κατάθεσις,layering
κατάθλιψις,pressing down
κατάθραυσις,breaking up
κατάθραυστος,broken in pieces
κατάθρυπτος,mincing, affected
κατάκαμψις,bending down
κατάκαρπος,fruitful
κατάκαυμα,anything burnt
κατάκαυσις,burning
κατάκειμαι,lie down
κατάκισσος,ivy-wreathed
κατάκλαυσις,bewailing
κατάκλεισις,shutting up, closing
κατάκλειστος,shut up
κατάκλησις,summoning by name
κατάκλητος,specially summoned
κατάκλυσμα,purge or clyster
κατάκλυστρον,compluvium
κατάκλᾰσις,forced position
κατάκλῐσις,making
κατάκλῐτον,couch, chaise-longue
κατάκλῐτος,flowing down
κατάκλῠσις,douche
κατάκνημος,thin-legged
κατάκοιτος,in bed
κατάκολλος,mixed with glue
κατάκομος,with falling hair or beard
κατάκοπος,very weary
κατάκορος,deeply
κατάκοσμος,adorned
κατάκουσις,hearing
κατάκρημνος,steep and rugged
κατάκροτος,noisy
κατάκρουσις,downward pressure
κατάκρᾱσις,multiplication
κατάκρῐμα,condemnation, judgement
κατάκρῐσις,condemnation
κατάκρῐτος,condemned, sentenced
κατάκτενος,carefully combed or dressed
κατάκτης,visitor, guest
κατάκτησις,acquisition
κατάκτρια,spinning woman
κατάκυψις,stooping
κατάλαμπρος,very bright
κατάλαμψις,bright reflection
κατάλεγμα,dirge
κατάλειμμα,remnant
κατάλειπτος,anointed
κατάλειψις,leaving behind
κατάλεκτος,cataleclum
κατάλεξις,levying
κατάλεπτον,petty cash', minor expenses
κατάλημμα,comprehension
κατάληξις,ending, termination
κατάληψις,seizing
κατάλλαξις,varied exercise
κατάλληλος,set over against one another, correspondent
κατάλογος,enrolment, register, catalogue
κατάλοιπος,left remaining
κατάλυπρος,sad
κατάλᾰλος,slanderer, Ep. Rom.
κατάλῐθος,set with precious stones
κατάλῠμα,lodging
κατάλῠσις,dissolution, putting down
κατάμακτος,cast, moulded
κατάμαστρος,liable to condemnation
κατάμειξις,admixture
κατάμεμπτος,blamed by all, abhorred
κατάμεμψις,blaming, finding fault with
κατάμοιχος,adulterer
κατάμομφος,liable to blame, inauspicious
κατάμονος,permanent
κατάμπελος,wine-growing
κατάμῐτον,in a series, one after another
κατάμῠσις,closing of the eyes
κατάνευρος,full of nerves or sinews
κατάνευσις,assent
κατάνιμμα,water for washing in
κατάνομαι,to be used up or wasted
κατάντημα,end, goal
κατάντης,downhill, steep
κατάντησις,recourse
κατάντλημα,douche
κατάνυξις,stupefaction, bewilderment
κατάξηρος,very dry, parched
κατάξιος,quite worthy
κατάξυσμα,scraping, filing
κατάξῠροι,embrasures
κατάξῠσις,scraping
κατάπαις,puerarius
κατάπασμα,powder
κατάπαστος,besprinkled, bespattered with
κατάπαυμα,means of stopping
κατάπαυσις,stopping
κατάπειρα,attack
κατάπεισις,persuasion
κατάπεμπτος,sent down
κατάπηξ,fixed in the ground
κατάπηρος,maimed, mutilated
κατάπικρος,very bitter
κατάπλασμα,plaster, poultice
κατάπλεος,quite full
κατάπληκτος,astonishing
κατάπληξις,amazement, consternation
κατάπλοος,sailing down, bearing down
κατάπλωσις,home-coming by sea
κατάπλᾰσις,plastering or poulticing
κατάπλῠσις,bathing in water
κατάπνιξις,choking, smothering
κατάπομα,drink
κατάπονος,tired, wearied
κατάποσις,gulping down, swallowing
κατάποτον,pill, bolus
κατάπραξις,execution
κατάπρεμνος,with many branches
κατάπριστος,sawn
κατάπτερος,winged
κατάπτυσμα,putacilla
κατάπτυστος,to be spat upon, abominable
κατάπτωμα,downfall
κατάπτωσις,fall
κατάπυκνος,thick, tufted
κατάπυρος,very red, deep red
κατάρα,curse
κατάρακτοι,shutters
κατάρβῠλος,reaching down to the shoes
κατάργησις,making null, abolishing
κατάργῠρος,covered with silver, silvered
κατάρδευτος,irriguus
κατάρδω,water
κατάρης,rushing from above
κατάρρειθρον,endoriguum
κατάρρηξις,violent diarrhoea
κατάρρησις,accusation
κατάρριζος,having roots below
κατάρροος,down-flowing
κατάρροπος,inclining downwards
κατάρρυθμος,very rhythmical
κατάρρᾰφος,sewn together, patched
κατάρρῑν,hook-nosed
κατάρρῠσις,flowing down
κατάρρῠτος,irrigated, watered
κατάρτιον,mast
κατάρτισμα,finished product
κατάρτῐσις,restoration
κατάρτῡσις,training, discipline
κατάρχης,founder, creator
κατάρχω,make beginning of
κατάρᾱμα,curse
κατάρᾱσις,cursing
κατάρᾱτος,accursed, abominable
κατάσαρκος,fleshy, plump
κατάσβεσις,putting out
κατάσεισις,shaking
κατάσκευος,furnished
κατάσκεψις,careful examination
κατάσκηψις,attack
κατάσκληρος,very hard
κατάσκοπος,one who reconnoitres, scout, spy
κατάσκῐος,shaded or covered with
κατάσμυρνος,smelling of myrrh
κατάσπασμα,vibrations
κατάσπεισις,besprinkling with holy water
κατάσπευσις,haste
κατάσπᾰσις,drawing down
κατάσπῐλος,blemished
κατάσσῠτος,rushing down
κατάσταξις,dropping down, dripping
κατάστεγνος,close-covered
κατάστεγος,covered in, roofed
κατάστειρος,barren
κατάστελμα,grain dropped
κατάστεψις,crowning
κατάστημα,condition, state
κατάστιγμα,point, spot
κατάστικτος,spotted, speckled, brindled
κατάστιξις,dotting
κατάστοργος,of love
κατάστρωμα,that which is spread upon or over
κατάστρωσις,spreading, laying
κατάστᾰσις,settlement, establishment, institution
κατάστῠγνος,of sad countenance
κατάσχασμα,incision
κατάσχεσις,holding back, restraining, retention
κατάσχετος,held back, kept back
κατάσχᾰσις,scarification
κατάσχῐσις,splitting up
κατάταξις,ordering, arranging
κατάτεχνος,artificial
κατάτονος,stretching down: depressed
κατάτρησις,aperture
κατάτριψις,a being worn out
κατάτροπος,steep
κατάτᾰσις,stretching
κατάτῡρος,covered with cheese
κατάφευξις,flight for refuge
κατάφημι,assent
κατάφημος,infamous
κατάφλεβος,full of veins, vascular
κατάφλεκτος,burnt
κατάφλεξις,burning
κατάφοβος,fearful, afraid of
κατάφορος,rushing down, tempestuous
κατάφορτος,laden with
κατάφρακτος,covered, shut up
κατάφραξις,stopping up
κατάφυλλος,leafy
κατάφωρος,detected
κατάφᾰσις,affirmation, affirmative proposition
κατάφῠσις,insertion
κατάφῠτος,full of plants or trees
κατάχαλκος,overlaid with bronze or copper
κατάχαρμα,mockery
κατάχολος,very bilious
κατάχρεος,involved in debt
κατάχρησις,excessive use or consumption
κατάχρισμα,salve, ointment
κατάχριστος,for use as ointments
κατάχρους,Arch.f.Relig.
κατάχρωσις,colouring
κατάχρῑσις,smearing on
κατάχρῡσος,overlaid with gold-leaf, gilded
κατάχυσμα,that which is poured over, sauce
κατάχυτλον,watering-pot, portable shower-bath
κατάχωλος,dead lame
κατάχωσις,covering up, burying
κατάχῠσις,pouring on or over
κατάψευσις,false account
κατάψευσμα,false accusation
κατάψησις,raking over
κατάψυξις,cooling or becoming cold, chill
κατάψυχρος,very cold
κατάψῡχος,opacus
κατέαξις,confractio
κατέγκλημα,accusation
κατέδω,eat up, devour
κατέλαιος,oily
κατέναντα,over against, opposite
κατένωπα,over against, right opposite
κατέπαρσις,insertion
κατέπειξις,bustling, hurrying
κατέπεφνον,kill, slay
κατέργασμα,work, achievement
κατέρνης,with luxuriant branches
κατέρχομαι,go down
κατέχω,hold fast
κατήγορος,accuser
κατήκοος,hearing
κατήλῠσις,going down, descent
κατήνεμος,exposed to the wind
κατήορος,hanging down
κατήρης,fitted out, furnished
κατήρυδες,laden with fruit
κατήφεια,dejection
κατήχησις,instruction by word of mouth
κατία,compliance
κατίζω,place among the stars
κατίσχω,hold back
καταέννῡμι,clothe, cover
καταίθω,burn down, burn to ashes
καταίνεσις,betrothal
καταίρω,take down
καταίσιος,righteous
καταίφλεξ,burning with heat
καταβά̆ρησις,weighing down, oppression
καταβά̆της,one who dismounts
καταβάδην,with one's feet down
καταβάλλω,throw down, overthrow
καταβάπτω,dip
καταβάσιον,a way down
καταβί̆ωσις,decline of life
καταβαίνω,go or come down from
καταβαθμός,descent
καταβακχιόομαι,to be full of Bacchic frenzy
καταβαπτέον,one must dip
καταβαπτίζω,dip, drown
καταβαρβᾰρόω,make quite barbarous
καταβαυκά̆λησις,lullaby
καταβαυκᾰλάω,lull to sleep
καταβαυκᾰλίζω,gulp down
καταβεβαίωσις,strong asseveration
καταβεβαιόομαι,affirm strongly
καταβεβλημένως,contemptibly
καταβελής,stricken by many arrows
καταβιβρώσκω,eat up, devour
καταβλάπτω,hurt greatly, damage
καταβλέπω,look down at
καταβλής,bolt
καταβλητέον,one must sow
καταβλητικός,fit for throwing off horseback
καταβλώσκω,go down or through
καταβλᾰβεύς,damager
καταβλᾱκεύω,treat carelessly, mismanage
καταβοάω,bawl
καταβοή,outcry against
καταβολή,throwing down
καταβολαῖον,storehouse
καταβολεύς,founder
καταβομβέω,to be deafened
καταβορβόρωσις,wallowing in mud
καταβουκολέω,lead astray, beguile
καταβρέχω,drench, soak, steep
καταβρίζω,fall asleep
καταβρίθω,to be heavily laden, weighed down
καταβρεκτέον,one must drench
καταβροντάω,to thunder down
καταβροχή,soaking, steeping
καταβροχίζω,tie up, ligature
καταβροχθίζω,gulp down
καταβρόξειε,soil with gore
καταβρύκω,bite in pieces, eat up
καταβρύω,to be overgrown
καταβρᾰβεύω,give judgement against
καταβρᾰδύνω,retard
καταβυρσόω,cover with hides
καταβυσσόω,bury
καταβόησις,shouting
καταβόλια,confectores
καταβόσκησις,feeding down or off
καταβόσκω,feed flocks upon or in
καταβόστρῠχος,with flowing locks
καταβᾰΰζω,bark at
καταβᾰρέω,weigh down, overload
καταβᾰρής,heavy-laden
καταβᾰσᾰνίζω,examine thoroughly
καταβᾰτέον,one must descend
καταβᾰτεύω,tread or walk upon
καταβᾰτικός,affording a means of descent
καταβᾰτός,descending, steep
καταβᾰφή,tincture
καταβᾰφής,soaked
καταβῐάζω,subdue by force
καταβῐβάζω,make to go down, bring down
καταβῐβάσκω,trespass
καταβῐβασμός,decrease
καταβῐβαστέος,to be brought down
καταβῐόω,pass one's life
καταβῠθίζω,cause to sink
καταβῠθισμός,sinking
καταγέλαστος,ridiculous, absurd
καταγέμω,to be full of
καταγίγνομαι,abide, dwell
καταγγέλλω,announce, proclaim, declare
καταγγέλτης,informer
καταγγίζω,put into a vessel, bottle
καταγγειόομαι,to be furnished with blood-vessels
καταγγελία,proclamation
καταγγελεύς,one who proclaims, herald
καταγγελτικός,announcing
καταγγισμός,packing
καταγελάσιμος,ridiculous
καταγελάω,laugh, jeer at
καταγελαστής,mocker
καταγελαστικός,satirical
καταγεμίζω,load heavily
καταγεωμετρέω,geometrize, turn into geometry
καταγεωργέω,bring into tillage
καταγεύομαι,taste
καταγεώτης,grave-digger
καταγηράσκω,grow old
καταγηρασμός,old age
καταγιγνώσκω,remark, observe
καταγλωττίζω,bill, kiss wantonly by joining mouths and tongues
καταγλύφω,scoop out, groove
καταγλώττισμα,lascivious kiss
καταγλᾰΐζω,glorify
καταγλῠκαίνω,sweeten
καταγλῠφή,incision, groove
καταγνάμπτω,bend down
καταγνάφω,lacerate
καταγνωστέον,one must condemn
καταγνωστικός,damnatory
καταγνῡπόομαι,to be weak
καταγογγύζω,murmur against
καταγοητεύω,bewitch
καταγρά̆φω,scratch, lacerate
καταγραπτέον,one must describe, draw
καταγρᾰφή,drawing, delineation
καταγρᾰφεύς,cataloguer
καταγρῡπόω,curl the nose
καταγυιόω,enfeeble
καταγυμνάζω,train, discipline
καταγυμνόω,strip naked
καταγυψόω,plaster with gypsum
καταγᾱΐδιοι,of the underworld
καταγῐγαρτίζω,take out the kernel
καταδάκνω,bite
καταδάνειος,burdened with mortgages
καταδάπτω,devour
καταδέομαι,entreat earnestly
καταδέρκομαι,look down upon
καταδέρω,flay
καταδέτης,cross-beam, tie
καταδέχομαι,receive, admit
καταδέω,bind on or to, bind fast
καταδέω1,bind on or to, bind fast
καταδέω2,lack, need
καταδί̆κη,judgement given against
καταδίδωμι,assign
καταδαίνυμαι,devour, consume
καταδαίω,burn up
καταδακρύω,bewail
καταδακτῠλίζω,feel with the finger
καταδακτῠλικός,inclined thereto
καταδαρθάνω,fall asleep
καταδεής,wanting in, lacking
καταδεής1,wanting in, lacking
καταδεής2,timid
καταδείδω,fear greatly
καταδείκνῡμι,discover and make known
καταδειλιάω,show cowardice
καταδειμαίνω,fear
καταδειπνέω,eat at a meal
καταδεκτέον,one must accept
καταδεκτικός,receptive
καταδερμᾰτόω,to be covered with hide
καταδεσμεύω,bind up
καταδεύω,wet through
καταδεῖ,there is wanting
καταδηλέομαι,injure, violate
καταδημοβορέω,consume
καταδημοκοπέω,overcome by courting popularity
καταδημᾰγωγέω,conquer by the arist of a demagogue
καταδηϊόω,ravage, waste
καταδιήγησις,pure narrative
καταδιαίρεσις,division
καταδιαιρέω,divide
καταδιαλλάσσω,reconcile again
καταδιαφθείρω,squander
καταδιφθερόω,cover over with skins
καταδιφρεύω,throw down from a chariot
καταδοκέω,think or suppose
καταδοξάζω,form a wrong opinion
καταδουλεύομαι,reduce to slavery
καταδουλισμός,enslavement
καταδουλόω,reduce to slavery, enslave
καταδουπέω,fall with a loud heavy sound, crash
καταδοχή,receiving back, restoration
καταδούλωσις,enslavement
καταδράσσομαι,lay hold of
καταδρέπω,strip off
καταδρομή,inroad, raid
καταδροσίζω,drench
καταδρύπτω,tear in pieces, rend
καταδρῠφάσσω,hedge or fence in
καταδυστής,one who dips under
καταδωροδοκέω,betray in return for bribes
καταδύω,go down, sink, set
καταδᾰμάζω,subdue
καταδᾰπά̆νη,absorption, drying up
καταδᾰπᾰνάω,squander
καταδᾰπᾰνητικός,tending to consume
καταδᾰτέομαι,divide among themselves, tear and devour
καταδῐαιτάω,decide as arbitrator against
καταδῐκάζω,give judgement or sentence against
καταδῐκαστής,one who condemns
καταδῐκαστικός,condemnatory
καταδῐωκτικός,pursuing
καταδῐώκω,follow hard upon, pursue closely
καταδῠναστεία,oppression
καταδῠναστεύω,oppress
καταδῠσωπέω,put to the blush
καταείσατο,had sped
καταειμένος,hanging down over
καταζαίνω,make dry, parch up
καταζευγοτροφέω,squander money on teams of horses
καταζεύγνῡμι,yoke together
καταζηλόω,create prejudice against
καταζητέω,search out
καταζοφόω,to be darkened
καταζωμεύω,sup up
καταζωστικός,of or for girding
καταζώννῡμι,gird fast
καταζώστης,girth, strap
καταζῠγίς,connecting-rod
καταζῶ,live one's life out, live on
καταθάπτω,bury
καταθέλγω,subdue by spells or enchantments
καταθέω,run down
καταθήγω,sharpen, whet
καταθήκη,deposit
καταθαμβέομαι,to be astonished at
καταθαρσέω,to be confident
καταθαρσύνω,embolden, encourage against
καταθεάομαι,look down upon, watch from above
καταθεμελιόω,to be founded, based
καταθετέον,one must lay down
καταθεωρέω,observe, contemplate
καταθεώρησις,observation
καταθεᾱτέον,one must observe
καταθηλύνω,make womanish
καταθλάω,crush in pieces
καταθλέω,wrestle down, overcome
καταθλίβω,press down
καταθνητός,mortal
καταθνῄσκω,Nuova Silloge
καταθοινάω,feast upon
καταθορῠβέω,shout down
καταθρέω,look down on from above
καταθραύω,break in pieces, shatter
καταθρηνέω,bewail
καταθρύπτω,break in pieces
καταθρῴσκω,leap down
καταθωρᾱκίζομαι,wear protective armour
καταθύμιος,in the mind or thoughts
καταθύω,sacrifice
καταθᾰλαττόω,throw into the sea
καταθῡμέω,to be cast down, lose heart
καταιέτια,raking
καταιβάσιος,descending
καταιβάτης,descending in thunder and lightning
καταιβάτις,steep, downward
καταιβᾰσία,thunderbolts
καταιβᾰτός,by which
καταιγίζω,rush down like a storm
καταιγίς,squall descending from above, hurricane
καταιγισμός,gusts
καταιγῐδώδης,tempestuous
καταιδέομαι,feel shame or reverence before
καταιθύσσω,wave or float down
καταιθᾰλόω,burn to ashes
καταικίζω,maltreat
καταινέω,agree to
καταιονάω,pour upon or over, foment
καταισθάνομαι,perceive
καταισιμόω,consume utterly
καταισχρεύομαι,speak or act foully
καταισχυμμός,shaming, disgrace
καταισχυντήρ,dishonourer
καταισχύνω,dishonour, put to shame
καταιτίᾱσις,accusation
καταιτιάομαι,accuse, arraign
καταιτιασμός,Cat.Cod. Astr.
καταιχμάζω,strike down
καταιωρέομαι,hang down
καταιόνημα,fomentation
κατακάλυμμα,covering, veil
κατακάλυψις,covering, concealment
κατακάμπτω,bend down
κατακάρδιος,in or to the heart
κατακάρπωσις,ashes of a burnt-sacrifice
κατακάρφω,parch up
κατακέντημα,puncture
κατακέραμα,sarta tecta
κατακέρᾰσις,process of mixing
κατακέφᾰλα,head downwards
κατακαίνυμαι,to be adorned
κατακαίνω,kill
κατακαίω,burn completely
κατακαγχάζω,laugh aloud at
κατακαλλύνω,clear away
κατακαρπόω,offer burnt-sacrifices
κατακαρφής,dried
κατακαυχάομαι,boast against
κατακαχρύω,grind roasted corn
κατακαύσιμος,combustible
κατακαύτης,one who burns
κατακείρω,shear, clip close
κατακελευσμός,calling to one, encouraging
κατακελεύω,command silence
κατακεντέω,pierce through
κατακεντίζω,slay with a spear
κατακεντρόομαι,to be furnished with spikes
κατακεράννῡμι,mix, temper
κατακεραστέον,one must mix, temper
κατακεραστικός,demulcent, restoring normal
κατακεραυνόω,strike down by thunder
κατακερδαίνω,make gain of
κατακερκίζω,divide into
κατακερματίζω,chop up, cut into pieces
κατακερματισμός,dividing into small parts
κατακερτομέω,rail violently
κατακεφάλαιον,poll-tax
κατακεύθομαι,to be hidden
κατακηλέω,charm, cast a spell over
κατακηλητικός,fit for enchanting
κατακηρόω,cover with wax
κατακηρύσσω,proclaim or command by public crier
κατακισηρίζω,rub smooth with pumice-stone
κατακλάω2,break short, snap off
κατακλίνω,lay down
κατακλαίω,bewail loudly, lament
κατακλείς,instrument for shutting or fastening doors
κατακλείω,shut in, enclose
κατακληροδοτέω,seize and parcel out
κατακληρονομέω,obtain as one's assured possession
κατακληρουχέω,receive as one's portion
κατακληρόω,receive as one's portion
κατακλητικός,for invoking
κατακλυσμός,flood
κατακλύζω,deluge, inundate
κατακλύω,hear of
κατακλώθω,spin one's fate
κατακλῐνής,bed-ridden
κατακλῐτέον,one must cause to lie down, put to bed
κατακλῑνοβᾰτής,making one lie abed
κατακλῶθες,the Spinners
κατακνάω,scrape away
κατακνίζω,chop up, mince
κατακναίω,wear out
κατακνώσσω,fall asleep
κατακοίμησις,sleeping, lodging
κατακοιμάω,sleep
κατακοιμίζω,lull to sleep
κατακοιμητικός,of or for lulling to sleep
κατακοιμισμός,putting to sleep
κατακοιμιστής,one who puts to bed, chamberlain
κατακοινωνέω,make one a partaker, give one a share
κατακοιρᾰνέω,govern
κατακολλάω,glue or fasten upon, inlay
κατακολούω,cut short
κατακολπίζω,run into a bay
κατακολυμβάω,dive down
κατακολυμβητής,diver
κατακομάω,wear the hair long
κατακομίζω,bring down
κατακομπολᾱκῠθέω,boast loudly
κατακομψεύομαι,speak elegantly or boastfully
κατακομῐδή,bringing down to the sea-shore for exportation
κατακονδύ̆λιστος,well cuffed
κατακοπή,cutting back, pruning
κατακορής,satiated, glutted
κατακορμίζω,cut wood into logs or pieces
κατακορᾰκόω,fasten up, close
κατακοσμέω,set in order, arrange
κατακοσμητέος,to be adorned
κατακοττᾰβίζω,squirt or throw wine over
κατακρά̆τησις,subduing
κατακράζω,cry down, outdo in crying
κατακρέμαστος,hanging, pendent
κατακρέμᾰμαι,hang down, be suspended
κατακρίνω,give as sentence against
κατακρίσιμος,condemned
κατακρεμάννυμι,hang up
κατακρεμασμός,hanging down
κατακρεουργέω,hew in pieces, as a butcher does
κατακρημνίζω,throw down a precipice
κατακρημνισμός,throwing headlong
κατακρημνιστής,one who throws headlong down
κατακροάομαι,listen attentively to
κατακροτέω,applaud excessively
κατακροτᾰλίζω,make a loud rattling noise
κατακρουνίζω,pour down over
κατακρουνισμός,douche
κατακρουστικός,exercising downward pressure
κατακρούω,knock
κατακρύβδην,in private, in secret
